,id,name,identifiers,neutral_formula,charge,charged_formula,neutral_mono_mass,SMILES,inchi
0,4crsol,P-Cresol,"[['BIGG', '4crsol'], ['BIGG', '4crsol_c'], ['BIGG', '_4crsol_c'], ['KEGG', 'C01468'], ['CHEBI', '11981'], ['CHEBI', '17847'], ['CHEBI', '1816'], ['CHEBI', '20352'], ['CHEBI', '44726'], ['HMDB', 'HMDB01858'], ['HMDB', 'HMDB13762'], ['inchikey', 'IWDCLRJOBJJRNH-UHFFFAOYSA-N'], ['BioCyc', 'CPD-108'], ['MetaNetX', 'MNXM828'], ['SEED', 'cpd01042']]",,0,C7H8O,0.0,,
1,aacald,Aminoacetaldehyde,"[['BIGG', 'aacald'], ['BIGG', 'aacald_c'], ['KEGG', 'C06735'], ['CHEBI', '13766'], ['CHEBI', '17628'], ['CHEBI', '22486'], ['CHEBI', '2647'], ['CHEBI', '42833'], ['CHEBI', '58213'], ['inchikey', 'LYIIBVSRGJSHAV-UHFFFAOYSA-O'], ['BioCyc', 'CPD-1772'], ['MetaNetX', 'MNXM2212'], ['SEED', 'cpd04122']]",,1,C2H6NO,0.0,,
2,amob,S-Adenosyl-4-methylthio-2-oxobutanoate,"[['BIGG', 'amob'], ['BIGG', 'amob_c'], ['KEGG', 'C04425'], ['CHEBI', '12758'], ['CHEBI', '16490'], ['CHEBI', '22033'], ['CHEBI', '8944'], ['BioCyc', 'S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE'], ['MetaNetX', 'MNXM3090'], ['inchikey', 'UOKVQQMBGVMXPU-CJPDYEHRSA-N'], ['SEED', 'cpd02701']]",,-1,C15H19N5O6S,0.0,,
3,10fthf,10-Formyltetrahydrofolate,"[['BIGG', '10fthf'], ['BIGG', '10fthf[c]'], ['BIGG', '10fthf_c'], ['BIGG', '_10fthf_c'], ['Reactome', 'R-ALL-419151'], ['Reactome', 'R-ALL-5389850'], ['inchikey', 'AUFGTPPARQZWDO-YPMHNXCESA-L'], ['KEGG', 'C00234'], ['CHEBI', '11304'], ['CHEBI', '15637'], ['CHEBI', '19108'], ['CHEBI', '19109'], ['CHEBI', '57454'], ['CHEBI', '698'], ['HMDB', 'HMDB00972'], ['BioCyc', '10-FORMYL-THF'], ['MetaNetX', 'MNXM237'], ['SEED', 'cpd00201']]",,-2,C20H21N7O7,0.0,,
4,2fe2s,[2Fe-2S] iron-sulfur cluster,"[['BIGG', '2fe2s'], ['BIGG', '2fe2s_c'], ['BIGG', '_2fe2s_c'], ['CHEBI', '21134'], ['CHEBI', '49600'], ['CHEBI', '49601'], ['CHEBI', '64605'], ['MetaNetX', 'MNXM151647'], ['SEED', 'cpd24604']]",,0,S,0.0,,
5,2ohph,2-Octaprenyl-6-hydroxyphenol,"[['BIGG', '2ohph'], ['BIGG', '2ohph_c'], ['KEGG', 'C05811'], ['CHEBI', '1233'], ['CHEBI', '62730'], ['BioCyc', '2-OCTAPRENYL-6-HYDROXYPHENOL'], ['MetaNetX', 'MNXM1635'], ['inchikey', 'YGTMSXVYLRCOLD-MGDAWYEDSA-N'], ['SEED', 'cpd03445']]",,0,C46H70O2,0.0,,
6,4fe4s,[4Fe-4S] iron-sulfur cluster,"[['BIGG', '4fe4s'], ['BIGG', '4fe4s_c'], ['BIGG', '_4fe4s_c'], ['CHEBI', '33725'], ['inchikey', 'LJBDFODJNLIPKO-UHFFFAOYSA-N'], ['BioCyc', 'CPD-7'], ['MetaNetX', 'MNXM37766']]",,2,Fe4S4,0.0,,
7,ala__L,L-Alanine,"[['BIGG', 'ala-L[c]'], ['BIGG', 'ala_DASH_L_c'], ['BIGG', 'ala_L[c]'], ['BIGG', 'ala_L_c'], ['BIGG', 'ala__L'], ['BIGG', 'ala__L_c'], ['Reactome', 'R-ALL-29432'], ['Reactome', 'R-ALL-352036'], ['Reactome', 'R-ALL-379697'], ['Reactome', 'R-ALL-389664'], ['KEGG', 'C00041'], ['KEGG', 'C01401'], ['CHEBI', '13069'], ['CHEBI', '13748'], ['CHEBI', '16449'], ['CHEBI', '16977'], ['CHEBI', '21216'], ['CHEBI', '22277'], ['CHEBI', '2539'], ['CHEBI', '32431'], ['CHEBI', '32432'], ['CHEBI', '32439'], ['CHEBI', '32440'], ['CHEBI', '40734'], ['CHEBI', '40735'], ['CHEBI', '46308'], ['CHEBI', '57972'], ['CHEBI', '6171'], ['CHEBI', '66916'], ['CHEBI', '76050'], ['KEGG_Drug', 'D00012'], ['HMDB', 'HMDB00161'], ['HMDB', 'HMDB62251'], ['BioCyc', 'L-ALPHA-ALANINE'], ['MetaNetX', 'MNXM32'], ['inchikey', 'QNAYBMKLOCPYGJ-REOHCLBHSA-N'], ['SEED', 'cpd00035'], ['SEED', 'cpd01003']]",,0,C3H7NO2,0.0,,
8,amet,S-Adenosyl-L-methionine,"[['BIGG', 'amet'], ['BIGG', 'amet[c]'], ['BIGG', 'amet_c'], ['Reactome', 'R-ALL-2162265'], ['Reactome', 'R-ALL-353113'], ['Reactome', 'R-ALL-5279190'], ['Reactome', 'R-ALL-71284'], ['Reactome', 'R-ALL-77087'], ['KEGG', 'C00019'], ['CHEBI', '10786'], ['CHEBI', '10833'], ['CHEBI', '12742'], ['CHEBI', '12757'], ['CHEBI', '12760'], ['CHEBI', '15414'], ['CHEBI', '22036'], ['CHEBI', '33442'], ['CHEBI', '45607'], ['CHEBI', '527887'], ['CHEBI', '59789'], ['CHEBI', '67040'], ['CHEBI', '8946'], ['HMDB', 'HMDB01185'], ['HMDB', 'HMDB62709'], ['inchikey', 'MEFKEPWMEQBLKI-AIRLBKTGSA-O'], ['BioCyc', 'S-ADENOSYLMETHIONINE'], ['MetaNetX', 'MNXM16'], ['SEED', 'cpd00017']]",,1,C15H23N6O5S,0.0,,
9,arg__L,L-Arginine,"[['BIGG', 'arg-L[c]'], ['BIGG', 'arg_DASH_L_c'], ['BIGG', 'arg_L[c]'], ['BIGG', 'arg_L_c'], ['BIGG', 'arg__L'], ['BIGG', 'arg__L_c'], ['Reactome', 'R-ALL-113530'], ['Reactome', 'R-ALL-29468'], ['Reactome', 'R-ALL-351977'], ['Reactome', 'R-ALL-374064'], ['KEGG', 'C00062'], ['KEGG', 'C02385'], ['CHEBI', '13077'], ['CHEBI', '133495'], ['CHEBI', '16467'], ['CHEBI', '21235'], ['CHEBI', '22616'], ['CHEBI', '2643'], ['CHEBI', '29016'], ['CHEBI', '32681'], ['CHEBI', '32682'], ['CHEBI', '32683'], ['CHEBI', '32695'], ['CHEBI', '32696'], ['CHEBI', '32697'], ['CHEBI', '42927'], ['CHEBI', '6185'], ['KEGG_Drug', 'D02982'], ['HMDB', 'HMDB00517'], ['HMDB', 'HMDB62762'], ['BioCyc', 'ARG'], ['MetaNetX', 'MNXM70'], ['inchikey', 'ODKSFYDXXFIFQN-BYPYZUCNSA-O'], ['SEED', 'cpd00051'], ['SEED', 'cpd19021']]",,1,C6H15N4O2,0.0,,
10,asn__L,L-Asparagine,"[['BIGG', 'asn-L[c]'], ['BIGG', 'asn_DASH_L_c'], ['BIGG', 'asn_L[c]'], ['BIGG', 'asn_L_c'], ['BIGG', 'asn__L'], ['BIGG', 'asn__L_c'], ['Reactome', 'R-ALL-29642'], ['Reactome', 'R-ALL-379703'], ['KEGG', 'C00152'], ['KEGG', 'C16438'], ['CHEBI', '13083'], ['CHEBI', '17196'], ['CHEBI', '21242'], ['CHEBI', '22653'], ['CHEBI', '32650'], ['CHEBI', '32651'], ['CHEBI', '32660'], ['CHEBI', '32661'], ['CHEBI', '40902'], ['CHEBI', '58048'], ['CHEBI', '6191'], ['inchikey', 'DCXYFEDJOCDNAF-REOHCLBHSA-N'], ['HMDB', 'HMDB00168'], ['BioCyc', 'ASN'], ['MetaNetX', 'MNXM147'], ['SEED', 'cpd00132'], ['SEED', 'cpd15142']]",,0,C4H8N2O3,0.0,,
